"job_country","job_count","avg_salary"
"United States","206943","126017.59"
"India","51197","113768.01"
"United Kingdom","40439","109843.68"
"France","40028","105211.15"
"Germany","27782","115800.56"
"Spain","25123","107299.06"
"Singapore","23702","106535.45"
"Sudan","21519","135037.56"
"Netherlands","20673","115734.95"
"Italy","17073","93196.32"
"Canada","16083","123228.14"
"Mexico","15182","113670.66"
"Poland","14855","106558.48"
"Portugal","14588","115896.48"
"Australia","12966","118391.38"
"South Africa","12573","104756.62"
"Belgium","12160","96550.62"
"Philippines","11788","83814.34"
"Ireland","11163","120099.46"
"Switzerland","9970","105229.04"
"Austria","9775","105269.19"
"Malaysia","9236","96007.33"
"Argentina","8771","107024.09"
"Chile","8126","124918.45"
"Hong Kong","7860","89086.32"
"Colombia","7777","108349.17"
"United Arab Emirates","7604","100956.23"
"Brazil","7047","118662.33"
"Denmark","7035","111008.47"
"Costa Rica","6383","108644.65"
"Sweden","6312","120636.62"
"Peru","6193","105515.00"
"Israel","4883","111304.06"
"Czechia","4621","111476.26"
"Thailand","4160","102988.23"
"Russia","3745","292500.00"
"Romania","3740","103849.15"
"Saudi Arabia","3406",""
"Indonesia","3009","97858.11"
"Egypt","2920","89094.53"
"China","2569","52295.25"
"Finland","2557","113255.58"
"New Zealand","2462","107691.63"
"Vietnam","2423","90107.11"
"Hungary","2404","104035.14"
"Luxembourg","2180","109976.07"
"Pakistan","2156","98778.67"
"Japan","2078","111866.98"
"Greece","2048","102995.28"
"Ukraine","1898","94186.14"
"Puerto Rico","1717","83012.55"
"Kenya","1715","86051.88"
"Norway","1694","111540.68"
"South Korea","1686","113249.06"
"Lithuania","1516","112562.30"
"Taiwan","1495","82576.43"
"Qatar","1400",""
"Uruguay","1396","69333.33"
"Turkey","1367","78869.65"
"Bulgaria","1226","112787.94"
"Morocco","1218","111881.54"
"Panama","1158","125500.00"
"Nigeria","1052","91661.00"
"Serbia","1021","94974.92"
"Slovakia","962","114428.13"
"Jordan","952","66346.00"
"Cyprus","779","111074.35"
"Sri Lanka","736","107853.86"
"Malta","712","104180.57"
"Tunisia","707","118754.60"
"Kuwait","703",""
"Ecuador","654",""
"Kazakhstan","631","87883.40"
"Estonia","591","85676.06"
"Belarus","541","400000.00"
"Dominican Republic","474","157500.00"
"Lebanon","464","87986.50"
"Namibia","411","140857.14"
"Latvia","394","99637.17"
"Croatia","374","95368.47"
"Bahrain","351",""
"Uzbekistan","331",""
"Uganda","328","65866.67"
"Guatemala","303","84166.67"
"Armenia","290","84008.40"
"Bangladesh","278","60981.33"
"Ghana","272",""
"Nepal","271","118476.67"
"Guam","246","102791.62"
"Moldova","235",""
"Mauritius","233","86509.14"
"U.S. Virgin Islands","225","114413.06"
"Slovenia","207","90344.44"
"Oman","193",""
"Jamaica","163","100000.00"
"El Salvador","137","121875.00"
"Macedonia (FYROM)","130","71300.00"
"Iraq","117",""
"Albania","114","79472.50"
"Algeria","110","44550.00"
"Senegal","108","100500.00"
"Nicaragua","105","111175.00"
"Zambia","103","90670.00"
"Ethiopia","93",""
"Kyrgyzstan","83","52500.00"
"Azerbaijan","81",""
"Honduras","78","63000.00"
"Cambodia","77","89204.00"
"Zimbabwe","75","67056.67"
"Venezuela","74",""
"Bahamas","70","201511.62"
"Rwanda","61",""
"Réunion","60",""
"Bolivia","59",""
"Paraguay","59",""
"Trinidad and Tobago","57",""
"Myanmar","54",""
"Côte d'Ivoire","53","147500.00"
"Tanzania","49",""
"Bosnia and Herzegovina","49","89100.00"
"Liberia","49",""
"Montenegro","46","53014.00"
"Iceland","42",""
"Congo, Democratic Republic of the","42","99294.17"
"Mongolia","40",""
"Libya","39",""
"Benin","38",""
"Botswana","31",""
"Haiti","28",""
"Malawi","26",""
"Cameroon","23",""
"Suriname","23",""
"Mozambique","21",""
"Burkina Faso","19",""
"Barbados","19",""
"Cayman Islands","19",""
"Afghanistan","18",""
"Togo","16",""
"Palestine","15",""
"Brunei","15","103775.00"
"Somalia","13",""
"Tajikistan","12",""
"Angola","12",""
"Madagascar","12",""
"Fiji","12",""
"Yemen","11",""
"Mali","10",""
"Djibouti","9","110000.00"
"Laos","8",""
"Guinea","8",""
"Papua New Guinea","6",""
"Gambia","6",""
"Guyana","6",""
"Mauritania","6",""
"Northern Mariana Islands","5",""
"Guadeloupe","5",""
"Lesotho","4",""
"Curaçao","3",""
"Maldives","2",""
"Bhutan","2",""
